Task,T431
Scope 1/1, Sample 1/3 (METTLER TOLEDO USA (Ref. 25?C) | 4.01)
Result,Measurenormal1
t,E,T
1,170.7,25.0
2,170.7,25.0
3,170.7,25.0
4,170.7,25.0
5,170.7,25.0
6,170.7,25.0
7,170.7,25.0
8,170.7,25.0
9,170.7,25.0
10,170.7,25.0
11,170.7,25.0
12,170.7,25.0
13,170.7,25.0
14,170.7,25.0
15,170.7,25.0
16,170.7,25.0
Scope 1/1, Sample 2/3 (METTLER TOLEDO USA (Ref. 25?C) | 7.00)
Result,Measurenormal1
t,E,T
1,-4.3,25.0
2,-4.4,25.0
3,-4.3,25.0
4,-4.4,25.0
5,-4.4,25.0
6,-4.4,25.0
7,-4.4,25.0
8,-4.3,25.0
9,-4.4,25.0
10,-4.4,25.0
11,-4.4,25.0
12,-4.3,25.0
13,-4.3,25.0
14,-4.3,25.0
15,-4.3,25.0
Scope 1/1, Sample 3/3 (METTLER TOLEDO USA (Ref. 25?C) | 10.01)
Result,Measurenormal1
t,E,T
1,-179.7,25.0
2,-179.7,25.0
3,-179.7,25.0
4,-179.7,25.0
5,-179.7,25.0
6,-179.7,25.0
7,-179.7,25.0
8,-179.7,25.0
9,-179.6,25.0
10,-179.7,25.0
11,-179.7,25.0
12,-179.7,25.0
13,-179.7,25.0
14,-179.7,25.0
15,-179.7,25.0
