Task,T1309
Scope 1/1, Sample 1/3 (METTLER TOLEDO USA (Ref. 25?C) | 4.01)
Result,Measurenormal1
t,E,T
1,176.3,20.4
2,176.3,20.4
3,176.2,20.4
4,176.2,20.4
5,176.3,20.4
6,176.3,20.4
7,176.3,20.4
8,176.3,20.4
9,176.3,20.4
10,176.3,20.4
11,176.3,20.4
12,176.2,20.4
13,176.3,20.4
14,176.3,20.4
15,176.3,20.4
16,176.3,20.4
Scope 1/1, Sample 2/3 (METTLER TOLEDO USA (Ref. 25?C) | 7.00)
Result,Measurenormal1
t,E,T
1,3.2,20.2
2,3.3,20.2
3,3.3,20.2
4,3.3,20.2
5,3.2,20.2
6,3.2,20.2
7,3.2,20.2
8,3.2,20.2
9,3.2,20.2
10,3.2,20.2
11,3.2,20.2
12,3.2,20.2
13,3.3,20.2
14,3.2,20.2
15,3.2,20.2
16,3.2,20.2
Scope 1/1, Sample 3/3 (METTLER TOLEDO USA (Ref. 25?C) | 10.01)
Result,Measurenormal1
t,E,T
1,-171.0,20.1
2,-171.0,20.1
3,-171.0,20.1
4,-171.0,20.1
5,-171.1,20.1
6,-171.1,20.1
7,-171.1,20.1
8,-171.1,20.1
9,-171.1,20.1
10,-171.1,20.1
11,-171.1,20.1
12,-171.1,20.1
13,-171.1,20.1
14,-171.1,20.1
15,-171.1,20.1
16,-171.1,20.1
